,Model,Optimizer,LR,Dropout,F1,Accuracy,Recall,Precision
41,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.25,0.7207344736536343,0.853,0.864414488392919,0.6817018231305286
42,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.5,0.7373652325894356,0.8774,0.8358244248693789,0.696833627537511
43,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,0.75,0.08646481412706306,0.0944,0.5003310527477378,0.5469281568941364
44,google/bert_uncased_L-4_H-256_A-4,Madgrad,5e-05,1.0,0.47506561679790027,0.905,0.49933789450452437,0.45304365238285943
45,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.1,0.7538365371732547,0.8794,0.8799365564584932,0.7081734735973597
46,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.25,0.7417186721805669,0.8728,0.8648260102520471,0.6984797130801818
47,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.5,0.723333994943262,0.861,0.8468463402318733,0.6837150895915836
48,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,0.75,0.11718398560503825,0.1208,0.5082071434924254,0.5241291147331415
49,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.0001,1.0,0.47506561679790027,0.905,0.49933789450452437,0.45304365238285943
50,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.1,0.70971442569235,0.8468,0.8485688968531871,0.6732289127041201
51,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.25,0.7130649955734376,0.8492,0.8518046021743602,0.6757636364619527
52,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.5,0.7218029445735479,0.869,0.8178092260894977,0.6839826804447249
53,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,0.75,0.08575607972206985,0.0938,0.5,0.0469
54,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.001,1.0,0.47506561679790027,0.905,0.49933789450452437,0.45304365238285943
55,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.1,0.08575607972206985,0.0938,0.5,0.0469
56,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.25,0.4206858650567004,0.4812,0.6430244339045071,0.5500071983579518
57,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.5,0.08575607972206985,0.0938,0.5,0.0469
58,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,0.75,0.47539607596264816,0.9062,0.5,0.4531
59,google/bert_uncased_L-4_H-256_A-4,Madgrad,0.005,1.0,0.474845079298393,0.9042,0.49889649084087395,0.4530060120240481
